reftramo,geom,idcalle,nombre,tipo_vialidad,fuente,localidad,departamento
740159,0105000020D17F0000010000000102000000050000003D75F23F3BCE2141952D22321F6B57418F461C6666CE21414EF73FA21B6B5741989735A1A7CE2141F9FCA189166B5741B86F53ACBFCE21417C8E555E146B5741440B4E43CDCE2141FFDEE9CC126B5741,70023,UYMOMVD_SN_2936,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740160,0105000020D17F000001000000010200000002000000440B4E43CDCE2141FFDEE9CC126B5741A9C40119B6CE2141D0FF92380A6B5741,70024,UYMOMVD_SN_2955,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740163,0105000020D17F0000010000000102000000020000000FC9CEB836CF2141898F798E216B57412D844973F6CE21417DBAD175256B5741,70027,UYMOMVD_SN_187,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740166,0105000020D17F000001000000010200000002000000D5FBA2E30FCF2141F4EF79150F6B5741A5F152A669CF214197AAF42A0F6B5741,70030,UYMOMVD_SN_3283,PASAJE,IDE,MONTEVIDEO,MONTEVIDEO
740167,0105000020D17F000001000000010200000002000000F6308DBD6BCF2141BECC5D211C6B5741155696C838CF2141549FBF6A1C6B5741,70031,UYMOMVD_SN_1100,PASAJE,IDE,MONTEVIDEO,MONTEVIDEO
740169,0105000020D17F000001000000010200000002000000BE8A9D9070CF2141B5BAA15D296B5741654E98F2B7CF2141427B312F296B5741,70033,UYMOMVD_SN_1183,PASAJE,IDE,MONTEVIDEO,MONTEVIDEO
801746,0105000020D17F00000100000001020000000200000061DA8B6EDBC02141C563EBE109725741FD0F285E81C02141EEB26E4402725741,14345,TORREMOLINOS,CALLE,INTENDENCIA_DE_MONTEVIDEO,MONTEVIDEO,MONTEVIDEO
801748,0105000020D17F000001000000010200000003000000FD0F285E81C02141EEB26E44027257411D3E7A724BBF214139AB1969E87157419260EAB6ECBE2141940C1979E0715741,14345,TORREMOLINOS,CALLE,INTENDENCIA_DE_MONTEVIDEO,MONTEVIDEO,MONTEVIDEO
740173,0105000020D17F00000100000001020000000300000028EAF50D68CD2141B237984C076B57415E63D5BA2DCD2141A0BEFFF5086B574138FDB70C26CD2141396E3429096B5741,70037,UYMOMVD_SN_3457,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
801749,0105000020D17F000001000000010200000002000000419D48851CBE2141A267F3653E725741E5F57A14F5BE21411E4CDD7D4E725741,14710,MAZARINO,CALLE,INTENDENCIA_DE_MONTEVIDEO,MONTEVIDEO,MONTEVIDEO
