rank,country,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,score
1,Finland,1.892,1.581,0.952,0.67,0.186,0.498,7.764
2,Iceland,1.874,1.611,0.959,0.662,0.269,0.512,7.701
3,Denmark,1.887,1.562,0.948,0.665,0.211,0.495,7.688
4,Costa Rica,1.254,1.421,0.891,0.631,0.178,0.312,7.439
5,Sweden,1.878,1.501,0.952,0.658,0.224,0.481,7.401
6,Norway,1.959,1.553,0.952,0.661,0.21,0.491,7.392
7,Netherlands,1.877,1.488,0.942,0.642,0.267,0.411,7.319
8,Israel,1.803,1.521,0.905,0.599,0.144,0.311,7.234
9,Luxembourg,2.096,1.502,0.94,0.649,0.181,0.432,7.228
10,Switzerland,1.993,1.551,0.961,0.647,0.271,0.43,7.201
11,Australia,1.821,1.531,0.931,0.648,0.252,0.401,7.181
12,Mexico,1.201,1.381,0.812,0.594,0.142,0.198,6.972
13,New Zealand,1.771,1.541,0.941,0.641,0.282,0.411,6.948
14,Germany,1.876,1.461,0.943,0.621,0.181,0.381,6.941
15,Canada,1.841,1.521,0.941,0.648,0.252,0.421,6.931
16,Kosovo,1.021,1.298,0.782,0.571,0.212,0.251,6.91
17,Austria,1.881,1.471,0.946,0.621,0.181,0.361,6.905
18,Belgium,1.851,1.451,0.941,0.611,0.141,0.351,6.894
19,Czechia,1.671,1.421,0.921,0.611,0.161,0.341,6.888
20,Slovenia,1.631,1.431,0.931,0.621,0.171,0.381,6.871
21,United Arab Emirates,1.941,1.421,0.901,0.661,0.222,0.391,6.851
22,Saudi Arabia,1.851,1.381,0.861,0.641,0.131,0.301,6.831
23,United States,1.941,1.461,0.891,0.591,0.181,0.291,6.816
24,Ireland,2.011,1.511,0.941,0.641,0.221,0.421,6.811
25,United Kingdom,1.821,1.461,0.931,0.621,0.271,0.361,6.694
26,Taiwan,1.821,1.431,0.881,0.611,0.251,0.311,6.681
27,France,1.851,1.431,0.932,0.571,0.131,0.311,6.586
28,Poland,1.631,1.401,0.891,0.581,0.141,0.291,6.541
29,Estonia,1.681,1.381,0.921,0.601,0.181,0.381,6.521
30,Lithuania,1.651,1.351,0.881,0.591,0.141,0.271,6.498
31,Slovakia,1.611,1.371,0.901,0.571,0.131,0.261,6.481
32,Latvia,1.591,1.341,0.871,0.561,0.121,0.251,6.421
33,Spain,1.771,1.421,0.951,0.561,0.121,0.281,6.401
34,Italy,1.781,1.391,0.961,0.521,0.101,0.241,6.381
35,Romania,1.511,1.321,0.871,0.541,0.111,0.211,6.351
36,Kosovo,1.021,1.301,0.791,0.561,0.181,0.221,6.321
37,Serbia,1.411,1.311,0.881,0.511,0.131,0.201,6.301
38,Hungary,1.561,1.291,0.881,0.501,0.121,0.191,6.281
39,Portugal,1.651,1.361,0.941,0.531,0.111,0.251,6.241
40,Greece,1.601,1.321,0.921,0.481,0.091,0.221,6.221
41,Singapore,2.121,1.401,0.941,0.671,0.241,0.481,6.201
42,Japan,1.811,1.411,0.921,0.571,0.191,0.321,6.13
43,South Korea,1.791,1.381,0.891,0.561,0.141,0.271,6.101
44,Brazil,1.371,1.361,0.801,0.521,0.141,0.181,6.081
45,Argentina,1.411,1.371,0.841,0.511,0.101,0.161,6.041
46,Chile,1.531,1.341,0.891,0.521,0.121,0.201,6.021
47,Uruguay,1.491,1.351,0.881,0.541,0.131,0.211,6.001
48,China,1.621,1.361,0.871,0.531,0.141,0.241,5.973
49,Russia,1.571,1.321,0.761,0.421,0.091,0.151,5.921
50,Malaysia,1.641,1.341,0.841,0.571,0.181,0.221,5.911
51,Thailand,1.491,1.321,0.821,0.561,0.271,0.191,5.891
52,Belarus,1.481,1.311,0.811,0.411,0.081,0.141,5.871
53,Colombia,1.291,1.301,0.811,0.511,0.141,0.151,5.851
54,Kazakhstan,1.531,1.291,0.761,0.481,0.131,0.181,5.831
55,Ecuador,1.221,1.281,0.811,0.491,0.121,0.141,5.811
